Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00        8     0.00     0.00  mc_parser_parsefuncparams
  0.00      0.17     0.00        8     0.00     0.00  mc_parser_parsefunctionstmt
  0.00      0.17     0.00        8     0.00     0.00  mc_parser_parseliteralfunction
  0.00      0.17     0.00        8     0.00     0.00  mc_ptrdict_count
  0.00      0.17     0.00        8     0.00     0.00  mc_symbol_copy
  0.00      0.17     0.00        8     0.00     0.00  mc_symtable_definefunctionname
  0.00      0.17     0.00        8     0.00     0.00  mc_symtable_definethis
  0.00      0.17     0.00        8     0.00     0.00  mc_symtable_istopblockscope
  0.00      0.17     0.00        8     0.00     0.00  mc_value_functiongetname
  0.00      0.17     0.00        8     0.00     0.00  mc_vm_setglobalbyindex
  0.00      0.17     0.00        8     0.00     0.00  mc_vmdo_makefunction
  0.00      0.17     0.00        7     0.00     0.00  mc_ptrlist_ensurecapacity
  0.00      0.17     0.00        7     0.00     0.00  mc_state_gcmarkobjlist
  0.00      0.17     0.00        6     0.00     0.00  mc_astexpr_makeexprstmt
  0.00      0.17     0.00        6     0.00     0.00  mc_class_destroy
  0.00      0.17     0.00        6     0.00     0.00  mc_class_make
  0.00      0.17     0.00        6     0.00     0.00  mc_compiler_changeuint16operand
  0.00      0.17     0.00        6     0.00     0.00  mc_compiler_compilecodeblock
  0.00      0.17     0.00        6     0.00     0.00  mc_parser_parseexprstmt
  0.00      0.17     0.00        5     0.00     0.00  mc_basicarray_clear
  0.00      0.17     0.00        4     0.00     0.00  mc_framelist_ensurecapacity
  0.00      0.17     0.00        4     0.00     0.00  mc_util_upperpowoftwo
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_count
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_deinit
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_destroy
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_init
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_makecapacity
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_setequalsfunction
  0.00      0.17     0.00        4     0.00     0.00  mc_valdict_sethashfunction
  0.00      0.17     0.00        4     0.00     0.00  mc_valmap_getlength
  0.00      0.17     0.00        4     0.00     0.00  mc_value_makemap
  0.00      0.17     0.00        4     0.00     0.00  mc_value_makemapcapacity
  0.00      0.17     0.00        3     0.00     0.00  mc_astexpr_makeifexpr
  0.00      0.17     0.00        3     0.00     0.00  mc_astexpr_makeliteralbool
  0.00      0.17     0.00        3     0.00     0.00  mc_astexpr_makeliteralstring
  0.00      0.17     0.00        3     0.00     0.00  mc_astifcase_destroy
  0.00      0.17     0.00        3     0.00     0.00  mc_astifcase_make
  0.00      0.17     0.00        3     0.00     0.00  mc_class_addpseudo
  0.00      0.17     0.00        3     0.00     0.00  mc_compiler_compileifstmt
  0.00      0.17     0.00        3     0.00     0.00  mc_errlist_clear
  0.00      0.17     0.00        3     0.00     0.00  mc_lexer_scanstring
  0.00      0.17     0.00        3     0.00     0.00  mc_parser_parseifstmt
  0.00      0.17     0.00        3     0.00     0.00  mc_parser_parseliteralbool
  0.00      0.17     0.00        3     0.00     0.00  mc_parser_parseliteralstring
  0.00      0.17     0.00        3     0.00     0.00  mc_parser_processandcopystring
  0.00      0.17     0.00        3     0.00     0.00  mc_ptrdict_getvalueat
  0.00      0.17     0.00        3     0.00     0.00  mc_ptrlist_copy
  0.00      0.17     0.00        3     0.00     0.00  mc_valarray_getinternalarray
  0.00      0.17     0.00        2     0.00     0.00  mc_astexpr_makeassignexpr
  0.00      0.17     0.00        2     0.00     0.00  mc_astexpr_makeprefixexpr
  0.00      0.17     0.00        2     0.00     0.00  mc_astexpr_makewhileexpr
  0.00      0.17     0.00        2     0.00     0.00  mc_astparser_destroy
  0.00      0.17     0.00        2     0.00     0.00  mc_astparser_make
  0.00      0.17     0.00        2     0.00     0.00  mc_compiledfile_destroy
  0.00      0.17     0.00        2     0.00     0.00  mc_compiledfile_make
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_compilewhilestmt
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_deinit
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_filescopedestroy
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_filescopemake
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_filescopepop
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_filescopepush
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_init
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_popbreakip
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_popcontinueip
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_pushbreakip
  0.00      0.17     0.00        2     0.00     0.00  mc_compiler_pushcontinueip
  0.00      0.17     0.00        2     0.00     0.00  mc_parser_parsegroupedexpr
  0.00      0.17     0.00        2     0.00     0.00  mc_parser_parseloopwhilestmt
  0.00      0.17     0.00        2     0.00     0.00  mc_parser_parseprefixexpr
  0.00      0.17     0.00        2     0.00     0.00  mc_printer_destroy
  0.00      0.17     0.00        2     0.00     0.00  mc_printer_init
  0.00      0.17     0.00        2     0.00     0.00  mc_printer_make
  0.00      0.17     0.00        2     0.00     0.00  mc_printer_release
  0.00      0.17     0.00        2     0.00     0.00  mc_ptrdict_copy
  0.00      0.17     0.00        2     0.00     0.00  mc_state_clearerrors
  0.00      0.17     0.00        2     0.00     0.00  mc_symtable_getblockscope
  0.00      0.17     0.00        2     0.00     0.00  mc_vallist_data
  0.00      0.17     0.00        2     0.00     0.00  optprs_nextpositional
  0.00      0.17     0.00        1     0.00     0.00  mc_astblockscope_copy
  0.00      0.17     0.00        1     0.00     0.00  mc_astexpr_copyexpr
  0.00      0.17     0.00        1     0.00     0.00  mc_astident_copy
  0.00      0.17     0.00        1     0.00     0.00  mc_astparser_parseall
  0.00      0.17     0.00        1     0.00   170.00  mc_cli_compileandrunfile
  0.00      0.17     0.00        1     0.00   170.00  mc_cli_compileandrunsource
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installargv
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installbuiltins
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installfauxjavascript
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installfileio
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installjsconsole
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installjsondummy
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installmath
  0.00      0.17     0.00        1     0.00     0.00  mc_cli_installotherstuff
  0.00      0.17     0.00        1     0.00     0.00  mc_compiler_compilesource
